Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,Hunter Greene,24,6,4,.600,3.34,19,19,0,0,0,0,110.1,78,42,41,10,45,0,126,13,1,4,456,130,3.63,1.115,6.4,0.8,3.7,10.3,2.80
SP,Andrew Abbott,25,9,6,.600,3.39,19,19,0,0,0,0,106.1,89,41,40,18,40,0,86,1,0,3,443,128,4.90,1.213,7.5,1.5,3.4,7.3,2.15
SP,Frankie Montas,31,4,7,.364,4.38,17,17,0,0,0,0,84.1,77,45,41,12,35,0,69,5,0,2,362,99,4.80,1.328,8.2,1.3,3.7,7.4,1.97
SP,Nick Lodolo,26,8,3,.727,3.33,14,14,0,0,0,0,78.1,64,30,29,9,24,0,81,11,0,1,327,130,3.93,1.123,7.4,1.0,2.8,9.3,3.38
SP,Graham Ashcraft ,26,5,5,.500,5.24,15,15,0,0,0,0,77.1,89,50,45,11,27,0,57,6,0,4,350,83,4.82,1.500,10.4,1.3,3.1,6.6,2.11
CL,Alexis Díaz,27,1,3,.250,4.33,37,0,31,0,0,19,35.1,30,22,17,2,22,1,35,3,0,1,156,101,4.04,1.472,7.6,0.5,5.6,8.9,1.59
RP,Fernando Cruz,34,3,7,.300,4.65,47,0,1,0,0,0,40.2,30,21,21,4,21,1,65,0,0,6,171,94,2.79,1.254,6.6,0.9,4.6,14.4,3.10
RP,Lucas Sims,30,1,3,.250,3.38,39,0,4,0,0,1,32.0,28,12,12,6,19,0,35,1,0,1,141,129,5.29,1.469,7.9,1.7,5.3,9.8,1.84
